日期,測站,SO2測站值,NO2測站值,NO+NO2測站值,NOX測站值,O3測站值,PM10測站值,PM2.5測站值,SO2模擬值,NO2模擬值,NO+NO2模擬值,NOX模擬值,O3模擬值,PM10模擬值,PM2.5模擬值
2016/4/1,觀音,,,,,1.9,,,3.8655448,10.056044,11.22333,11.2233305,40.859253,27.73062,19.888737
2016/4/1,觀音,,,,,,,,2.4933066,3.9813201,5.1684995,5.1684995,47.7567,21.561474,14.308065
2016/4/1,觀音,,,,,,,,1.9553196,3.1954823,4.3235664,4.3235664,53.02368,16.854134,11.408375
2016/4/1,觀音,,,,,,,,2.0347073,2.8847308,3.9169178,3.9169178,56.661636,16.59874,11.212444
2016/4/1,觀音,,,,,,,,1.9819119,2.3670027,3.2015834,3.2015834,58.450874,16.785332,11.040721
2016/4/1,觀音,,,,,,,,1.9799925,2.2015474,2.9578848,2.957885,59.65803,17.079235,11.031194
2016/4/1,觀音,3.8,5.7,7.1,7.1,18.0,91.0,45.0,2.0869162,2.322291,3.0747771,3.0747771,61.23487,17.912746,11.645982
2016/4/1,觀音,5.0,22.0,25.1,25.0,31.0,54.0,35.0,2.135158,2.6985607,3.4868095,3.4868093,62.837593,19.786179,13.12733
2016/4/1,觀音,5.2,15.0,17.6,18.0,44.0,58.0,24.0,2.189773,3.6448781,4.5487914,4.5487914,62.43263,21.942734,14.664843
2016/4/1,觀音,3.9,9.7,11.799999999999999,12.0,50.0,54.0,31.0,2.8416436,6.911402,8.00301,8.00301,61.609627,23.968788,16.010489
2016/4/1,觀音,1.2,8.4,10.0,10.0,61.0,55.0,28.0,4.4062448,14.915657,15.510729,15.510729,61.518944,34.222874,24.154137
2016/4/1,觀音,0.8,7.5,8.9,8.9,66.0,56.0,32.0,3.311334,19.0211,19.083658,19.083658,52.988125,35.604195,26.330448
2016/4/1,觀音,0.7,6.3,7.6,7.6,67.0,58.0,27.0,2.2647882,17.345804,17.406116,17.406116,49.064327,31.583065,23.907276
2016/4/1,觀音,2.9,13.0,14.8,15.0,62.0,56.0,29.0,2.3477032,15.572302,15.632434,15.632434,46.934044,36.054947,26.21722
2016/4/1,觀音,6.4,20.0,22.9,23.0,63.0,62.0,39.0,2.485217,14.7792845,14.833644,14.833644,46.205467,32.90683,23.643055
2016/4/1,觀音,6.0,23.0,26.0,26.0,59.0,68.0,43.0,2.6233122,15.624395,15.666101,15.666101,42.953335,30.90685,22.167593
2016/4/1,觀音,4.5,25.0,27.7,27.0,54.0,77.0,43.0,2.5981398,15.222812,15.255574,15.255575,40.79113,30.948622,21.92524
