序號,縣市,鄉鎮市區,測站,監測日期,測項(單位),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2,桃園市,觀音區,觀音,2016/4/30,小時風向值 WD_HR (degrees),79,85,175,135,138,127,143,81,192,194,278,312,276,294,248,245,225,204,195,267,306,209,184,151
3,桃園市,觀音區,觀音,2016/4/30,相對濕度 RH (percent),71,73,72,71,72,73,72,69,66,64,61,61,59,63,67,70,73,79,85,89,76,77,79,78
4,桃園市,觀音區,觀音,2016/4/30,二氧化氮 NO2 (ppb),46,41,45,36,31,20,23,22,22,26,23,17,14,11,11,13,12,14,26,24,6,6.2,8,9.8
5,桃園市,觀音區,觀音,2016/4/30,小時風速值 WS_HR (m/sec),2.2,1.1,0.2,0.7,1.2,1.2,0.7,0.1,0.6,0.7,0.5,1,0.8,1,1,2.3,2.1,1.3,1.2,0.8,1.4,0.6,0.3,0.6
6,桃園市,觀音區,觀音,2016/4/30,酸雨 PH_RAIN (pH),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,0,0,0,0,0
7,桃園市,觀音區,觀音,2016/4/30,導電度 RAIN_COND (μmho/cm),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0
8,桃園市,觀音區,觀音,2016/4/30,降雨強度 RAIN_INT (㎜),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0
9,桃園市,觀音區,觀音,2016/4/30,風速 WIND_SPEED (m/sec),2,1,0.5,1.1,1.3,1.4,0.8,0.6,1,1.4,1.6,1.6,1,1.1,1.7,2.6,1.9,1.1,0.9,2.6,0.8,0.7,0.6,0.5
10,桃園市,觀音區,觀音,2016/4/30,溫度 AMB_TEMP (℃),20,20,20,21,21,21,21,22,23,24,25,25,25,25,25,25,24,23,23,22,22,22,22,22
11,桃園市,觀音區,觀音,2016/4/30,風向 WIND_DIREC (degrees),80,94,160,148,145,120,117,227,122,252,313,319,317,300,243,241,230,184,230,309,298,262,108,174
12,桃園市,觀音區,觀音,2016/4/30,一氧化碳 CO (ppm),0.66,0.7,0.69,0.69,0.62,0.64,0.69,0.76,0.72,0.66,0.63,0.58,0.56,0.51,0.52,0.53,0.51,0.57,0.74,0.69,0.27,0.29,0.35,0.31
13,桃園市,觀音區,觀音,2016/4/30,臭氧 O3 (ppb),46,44,36,36,48,48,42,45,51,53,69,86,95,95,94,90,85,73,53,45,74,65,61,56
14,桃園市,觀音區,觀音,2016/4/30,懸浮微粒 PM 10  (μg/m 3 ),126,124,135,136,140,129,122,110,105,102,102,101,95,93,95,98,100,100,108,112,96,72,44,41
15,桃園市,觀音區,觀音,2016/4/30,氮氧化物 NOx (ppb),47,42,45,37,31,20,24,24,24,29,25,18,15,12,11,14,12,14,27,24,6.4,6.5,8.2,10
16,桃園市,觀音區,觀音,2016/4/30,二氧化硫 SO2 (ppb),16,18,14,17,13,8.9,15,12,10,9.9,8.1,6.1,5.9,4.5,4.5,4.6,5.4,4.3,4.1,4,2.3,2,2.2,2.5
17,桃園市,觀音區,觀音,2016/4/30,一氧化氮 NO (ppb),0.7,0.8,0.7,0.6,0.4,0.6,1,1.8,2.3,2.7,2,1,0.7,0.5,0.6,0.5,0.4,0.3,0.4,0.4,0.3,0.3,0.2,0.3
18,桃園市,觀音區,觀音,2016/4/30,細懸浮微粒 PM 2.5  (μg/m 3 ),74,89,89,98,95,90,83,75,77,75,69,70,63,73,61,68,59,69,74,79,58,44,28,36
19,桃園市,觀音區,觀音,2016/4/29,小時風向值 WD_HR (degrees),90,92,91,89,84,84,84,85,84,76,62,56,55,55,54,58,57,66,77,79,85,86,86,80
20,桃園市,觀音區,觀音,2016/4/29,相對濕度 RH (percent),65,65,64,64,65,65,65,60,52,51,54,56,55,51,49,52,53,56,55,55,57,61,64,67
21,桃園市,觀音區,觀音,2016/4/29,二氧化氮 NO2 (ppb),5.8,5.5,5.4,7,14,21,24,23,21,17,17,16,23,15,13,13,15,17,22,24,28,24,25,35
22,桃園市,觀音區,觀音,2016/4/29,小時風速值 WS_HR (m/sec),5.5,5.7,5.5,5.3,5.1,5,5.6,6.1,6.2,5.4,6.2,7.4,7.6,7.7,7.6,7.3,7.1,5.3,4.2,4.5,4.1,4.4,4,2.8
23,桃園市,觀音區,觀音,2016/4/29,酸雨 PH_RAIN (pH),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,桃園市,觀音區,觀音,2016/4/29,導電度 RAIN_COND (μmho/cm),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,桃園市,觀音區,觀音,2016/4/29,降雨強度 RAIN_INT (㎜),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,桃園市,觀音區,觀音,2016/4/29,風速 WIND_SPEED (m/sec),5.5,5.6,5.5,5.2,4.4,5.1,6.6,6.5,5.5,6.1,7.7,7.9,7.4,8,7.7,8,6.9,5.4,4,4.6,3.9,5,3.7,2.7
27,桃園市,觀音區,觀音,2016/4/29,溫度 AMB_TEMP (℃),20,19,19,19,19,20,20,21,23,24,24,24,24,24,24,24,23,23,22,21,21,21,21,20
28,桃園市,觀音區,觀音,2016/4/29,風向 WIND_DIREC (degrees),88,91,91,89,85,82,81,85,79,70,55,57,61,55,55,53,61,72,76,83,85,83,86,80
29,桃園市,觀音區,觀音,2016/4/29,一氧化碳 CO (ppm),0.32,0.36,0.39,0.39,0.5,0.44,0.47,0.54,0.54,0.54,0.53,0.56,0.57,0.53,0.54,0.53,0.56,0.6,0.58,0.54,0.54,0.56,0.62,0.62
30,桃園市,觀音區,觀音,2016/4/29,臭氧 O3 (ppb),67,73,77,81,74,71,72,80,83,90,94,99,95,99,98,100,97,91,78,73,69,74,73,61
31,桃園市,觀音區,觀音,2016/4/29,懸浮微粒 PM 10  (μg/m 3 ),70,66,72,86,95,96,95,95,100,103,114,123,131,134,128,135,132,136,127,123,115,112,118,118
32,桃園市,觀音區,觀音,2016/4/29,氮氧化物 NOx (ppb),6.3,6.1,5.9,7.4,14,22,26,24,23,19,18,18,28,16,14,14,15,17,23,25,28,25,26,36
33,桃園市,觀音區,觀音,2016/4/29,二氧化硫 SO2 (ppb),2.9,3.7,4.2,4.3,7.9,7,7.6,9.5,8.5,7.6,7.4,7.4,7.1,7.1,7.4,8.2,8.5,9,8.9,9.3,9.7,9.7,11,13
34,桃園市,觀音區,觀音,2016/4/29,一氧化氮 NO (ppb),0.5,0.6,0.5,0.4,0.6,0.7,1.2,1.4,1.7,1.6,1.7,1.6,4.6,1.7,1.1,0.9,0.9,0.8,0.6,0.7,0.6,0.6,0.6,0.5
35,桃園市,觀音區,觀音,2016/4/29,細懸浮微粒 PM 2.5  (μg/m 3 ),37,32,37,44,42,49,54,62,61,55,57,63,65,72,65,60,66,76,88,77,72,67,63,70
36,桃園市,觀音區,觀音,2016/4/28,小時風向值 WD_HR (degrees),264,283,292,306,300,45,53,80,72,63,75,77,76,74,75,76,83,85,91,90,88,90,90,90
