序號,縣市,鄉鎮市區,測站,監測日期,測項(單位),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
37,桃園市,觀音區,觀音,2016/4/28,相對濕度 RH (percent),92,92,92,92,92,92,89,85,84,81,80,78,74,75,76,75,73,73,72,74,74,75,72,68
38,桃園市,觀音區,觀音,2016/4/28,二氧化氮 NO2 (ppb),3.6,2.8,3.7,3.9,10,6.3,8.2,16,17,12,10,10,10,9.1,9,11,14,24,19,19,19,15,8.6,7.5
39,桃園市,觀音區,觀音,2016/4/28,小時風速值 WS_HR (m/sec),3.8,3.6,3.5,3.1,0.9,3.1,4.9,4,4.1,4.8,4.6,4.7,4.1,4.5,4.8,4.9,4.5,4.6,5.6,5.1,5.1,5.3,5.7,5.8
40,桃園市,觀音區,觀音,2016/4/28,酸雨 PH_RAIN (pH),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,桃園市,觀音區,觀音,2016/4/28,導電度 RAIN_COND (μmho/cm),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,桃園市,觀音區,觀音,2016/4/28,降雨強度 RAIN_INT (㎜),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,桃園市,觀音區,觀音,2016/4/28,風速 WIND_SPEED (m/sec),4.2,3.6,4,3.6,3.2,4.9,4.9,4,6.1,4.4,5,4.5,3.8,5.4,4.9,4.9,4.7,5.3,5.5,5.1,5.4,6.5,5.8,6.6
44,桃園市,觀音區,觀音,2016/4/28,溫度 AMB_TEMP (℃),25,25,24,23,23,24,23,23,23,23,23,23,23,24,23,23,23,22,21,21,21,20,20,20
45,桃園市,觀音區,觀音,2016/4/28,風向 WIND_DIREC (degrees),263,278,300,300,83,49,63,83,53,68,80,80,77,78,79,81,88,86,90,91,89,90,89,92
46,桃園市,觀音區,觀音,2016/4/28,一氧化碳 CO (ppm),0.12,0.14,0.18,0.22,0.29,0.33,0.42,0.55,0.55,0.5,0.48,0.5,0.49,0.47,0.48,0.46,0.46,0.49,0.59,0.65,0.64,0.58,0.47,0.36
47,桃園市,觀音區,觀音,2016/4/28,臭氧 O3 (ppb),28,33,41,49,45,57,64,58,53,56,54,52,54,56,57,59,57,48,55,53,54,61,68,65
48,桃園市,觀音區,觀音,2016/4/28,懸浮微粒 PM 10  (μg/m 3 ),24,24,33,37,43,48,53,61,67,66,70,68,70,68,73,80,77,80,84,89,100,104,102,88
49,桃園市,觀音區,觀音,2016/4/28,氮氧化物 NOx (ppb),4.6,3.8,4.7,4.6,11,7,9,17,19,13,12,12,12,11,10,13,16,26,20,20,20,15,9.3,8.1
50,桃園市,觀音區,觀音,2016/4/28,二氧化硫 SO2 (ppb),1.7,2.1,2.2,2,5,3,2.5,6,5.7,6,4.1,3.3,3.4,4.5,3.8,3.5,3.8,7.1,3.9,5.5,5.4,4.6,4.1,4.5
51,桃園市,觀音區,觀音,2016/4/28,一氧化氮 NO (ppb),1,1,1,0.6,0.6,0.7,0.8,1.1,2,1.4,1.4,1.6,1.7,1.5,1.4,1.5,1.6,1.5,1.1,0.8,0.8,0.9,0.7,0.6
52,桃園市,觀音區,觀音,2016/4/28,細懸浮微粒 PM 2.5  (μg/m 3 ),13,16,21,21,29,25,31,27,43,38,46,37,39,34,39,38,41,44,49,58,61,65,61,47
53,桃園市,觀音區,觀音,2016/4/27,小時風向值 WD_HR (degrees),313,303,304,297,235,227,230,228,241,250,253,,255,255,259,262,259,255,256,259,262,263,263,263
54,桃園市,觀音區,觀音,2016/4/27,相對濕度 RH (percent),91,92,92,92,92,92,92,87,77,77,,70,64,63,78,85,89,84,84,85,87,88,91,92
55,桃園市,觀音區,觀音,2016/4/27,二氧化氮 NO2 (ppb),7,5.4,5.9,3.4,4.5,3.9,7.2,10,8.2,6,,,,,16,5.4,9,3.1,3.3,8.9,9.4,7.3,2.2,5.4
56,桃園市,觀音區,觀音,2016/4/27,小時風速值 WS_HR (m/sec),0.7,2.6,2.7,2,4.5,6.6,5.2,5.1,5.1,6.1,6.2,,7.2,6.5,6.8,5.7,5.5,6.2,5.8,5,4.6,4.3,4.4,4
57,桃園市,觀音區,觀音,2016/4/27,酸雨 PH_RAIN (pH),0,4.1,4.2,4.3,4.4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,桃園市,觀音區,觀音,2016/4/27,導電度 RAIN_COND (μmho/cm),0,39,33,24,22,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,桃園市,觀音區,觀音,2016/4/27,降雨強度 RAIN_INT (㎜),0,16,2.5,0.5,2.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,桃園市,觀音區,觀音,2016/4/27,風速 WIND_SPEED (m/sec),1.2,2.5,3,1.9,7.4,5.8,4.6,5.8,6.3,6.1,,6.3,7.4,6.3,5.8,6.9,5.9,6.6,6.1,4.1,5.6,4.1,4.2,3.9
61,桃園市,觀音區,觀音,2016/4/27,溫度 AMB_TEMP (℃),25,24,24,24,24,23,24,24,26,27,,29,30,30,28,27,26,27,26,26,26,26,25,25
62,桃園市,觀音區,觀音,2016/4/27,風向 WIND_DIREC (degrees),296,286,310,275,235,232,238,226,249,256,,258,251,256,263,264,252,259,256,263,259,268,263,263
63,桃園市,觀音區,觀音,2016/4/27,一氧化碳 CO (ppm),0.21,0.19,0.18,0.18,0.17,0.14,0.15,0.19,0.19,0.15,,,0.2,0.2,0.2,0.14,0.14,0.16,0.15,0.16,0.16,0.15,0.14,0.13
64,桃園市,觀音區,觀音,2016/4/27,臭氧 O3 (ppb),39,40,36,37,34,29,23,20,25,26,,,57,43,44,33,22,27,33,31,30,27,30,26
65,桃園市,觀音區,觀音,2016/4/27,懸浮微粒 PM 10  (μg/m 3 ),72,64,51,36,27,26,28,38,32,30,,,48,51,53,49,48,47,37,33,30,36,35,27
66,桃園市,觀音區,觀音,2016/4/27,氮氧化物 NOx (ppb),7.3,5.8,6.3,4,5.1,4.5,7.8,12,10,7.6,,,,,19,7,12,4.5,4.4,10,11,8.8,3.4,6.5
67,桃園市,觀音區,觀音,2016/4/27,二氧化硫 SO2 (ppb),2.4,1.3,1.3,1.1,1.1,1.3,2.1,3.2,1.9,1.6,,,,3.3,3.5,2.5,1.8,1.6,1.6,1.6,2.4,2.1,1.6,2.2
68,桃園市,觀音區,觀音,2016/4/27,細懸浮微粒 PM 2.5  (μg/m 3 ),48,39,26,12,7,8,12,13,14,16,,,11,17,16,18,17,21,22,21,9,8,1,5
69,桃園市,觀音區,觀音,2016/4/27,一氧化氮 NO (ppb),0.4,0.3,0.4,0.6,0.6,0.6,0.6,1.7,2.3,1.6,,,,,2.9,1.6,2.8,1.4,1.1,1.2,1.3,1.6,1.2,1.1
70,桃園市,觀音區,觀音,2016/4/26,小時風向值 WD_HR (degrees),49,67,82,69,55,98,91,92,73,36,351,321,308,300,275,315,273,267,261,248,232,242,253,304
71,桃園市,觀音區,觀音,2016/4/26,相對濕度 RH (percent),92,91,92,92,92,92,91,88,84,83,80,77,76,76,76,84,82,82,81,82,85,86,87,90
72,桃園市,觀音區,觀音,2016/4/26,二氧化氮 NO2 (ppb),9.3,11,13,27,14,18,25,19,21,22,20,,15,11,11,8.8,11,8.6,9.1,8.9,8.6,8.3,7.2,5.7
73,桃園市,觀音區,觀音,2016/4/26,小時風速值 WS_HR (m/sec),2.9,2.2,2,1.5,1.5,1.8,2,2.3,1.3,1.2,0.7,0.9,1.4,1.6,1.7,1.5,0.8,1.2,1.3,1.4,1.6,1.3,1.2,0.8
74,桃園市,觀音區,觀音,2016/4/26,酸雨 PH_RAIN (pH),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,桃園市,觀音區,觀音,2016/4/26,導電度 RAIN_COND (μmho/cm),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,桃園市,觀音區,觀音,2016/4/26,降雨強度 RAIN_INT (㎜),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,桃園市,觀音區,觀音,2016/4/26,風速 WIND_SPEED (m/sec),2.7,1.8,2.3,1.3,1.4,2,2.7,2.1,1.6,1.8,2.2,2.6,2.1,1.9,2.3,2,1.3,0.6,1.8,1.6,2,1.3,1.5,1.1
78,桃園市,觀音區,觀音,2016/4/26,溫度 AMB_TEMP (℃),23,23,23,23,24,24,24,24,26,26,27,28,28,28,28,26,26,26,26,26,26,26,26,25
79,桃園市,觀音區,觀音,2016/4/26,風向 WIND_DIREC (degrees),45,75,84,50,64,108,92,92,11,25,320,303,305,274,284,303,294,247,260,213,222,247,258,19
80,桃園市,觀音區,觀音,2016/4/26,一氧化碳 CO (ppm),0.28,0.27,0.27,0.39,0.33,0.4,0.51,0.46,0.46,0.41,0.41,,0.39,0.33,0.28,0.29,0.28,0.26,0.25,0.24,0.24,0.25,0.23,0.21
81,桃園市,觀音區,觀音,2016/4/26,臭氧 O3 (ppb),44,40,34,13,27,17,6.2,16,19,26,,53,79,81,72,65,58,51,45,43,42,43,45,43
82,桃園市,觀音區,觀音,2016/4/26,懸浮微粒 PM 10  (μg/m 3 ),53,50,52,60,61,65,68,79,79,77,74,,82,77,77,77,87,86,77,66,67,72,75,75
83,桃園市,觀音區,觀音,2016/4/26,氮氧化物 NOx (ppb),9.9,11,13,28,14,21,32,26,29,30,25,,16,12,12,9.6,12,9,9.5,9.2,9,8.7,7.7,6
84,桃園市,觀音區,觀音,2016/4/26,二氧化硫 SO2 (ppb),3.9,3.8,5.1,8.4,4.5,6.7,7.9,7.6,7.4,10,7.8,,5.4,4.7,3.5,2.9,2.3,1.7,1.4,1.4,1.7,1.6,1.5,1.7
85,桃園市,觀音區,觀音,2016/4/26,細懸浮微粒 PM 2.5  (μg/m 3 ),34,29,33,33,34,34,39,41,50,49,55,,50,49,47,48,50,50,48,43,40,31,37,36
86,桃園市,觀音區,觀音,2016/4/26,一氧化氮 NO (ppb),0.6,0.6,0.6,1,0.7,2.5,7.9,7.2,8,8.2,4.8,,1.3,0.9,0.8,0.8,0.7,0.5,0.4,0.3,0.4,0.4,0.5,0.3
87,桃園市,觀音區,觀音,2016/4/25,小時風向值 WD_HR (degrees),255,84,118,124,35,69,88,77,69,51,51,55,55,49,52,54,54,83,85,82,66,83,70,51
88,桃園市,觀音區,觀音,2016/4/25,相對濕度 RH (percent),92,92,92,92,92,92,92,92,89,87,85,85,87,88,88,88,87,88,90,90,91,92,92,92
89,桃園市,觀音區,觀音,2016/4/25,二氧化氮 NO2 (ppb),12,8,9.7,12,17,22,21,32,21,12,8.6,7.4,6.5,5.3,5.1,8.7,11,17,20,20,12,11,10,11
90,桃園市,觀音區,觀音,2016/4/25,小時風速值 WS_HR (m/sec),1,0.2,0.7,0.5,0.3,0.9,1.5,1.6,1.4,1.6,2,1.9,2.6,2.8,3,3.6,3.5,3.1,3.2,3,2.9,3.2,2.9,3.2
91,桃園市,觀音區,觀音,2016/4/25,酸雨 PH_RAIN (pH),4.2,0,0,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
92,桃園市,觀音區,觀音,2016/4/25,導電度 RAIN_COND (μmho/cm),31,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
93,桃園市,觀音區,觀音,2016/4/25,降雨強度 RAIN_INT (㎜),8.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
94,桃園市,觀音區,觀音,2016/4/25,風速 WIND_SPEED (m/sec),1,1,0.9,0.7,0.7,1,1.6,1.8,1.4,2.1,2.7,2.8,3.7,3.2,4.1,3.9,3,4,3,3.3,3.4,3.4,3.7,2.6
95,桃園市,觀音區,觀音,2016/4/25,溫度 AMB_TEMP (℃),24,24,23,23,24,23,24,25,25,26,26,26,25,25,25,25,24,24,24,24,23,23,23,23
96,桃園市,觀音區,觀音,2016/4/25,風向 WIND_DIREC (degrees),274,133,108,120,21,67,86,49,67,63,52,52,51,47,46,54,61,82,83,85,53,81,49,59
97,桃園市,觀音區,觀音,2016/4/25,一氧化碳 CO (ppm),0.27,0.26,0.28,0.29,0.28,0.35,0.42,0.55,0.39,0.31,0.27,0.26,0.23,0.21,0.21,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.27,0.31
98,桃園市,觀音區,觀音,2016/4/25,臭氧 O3 (ppb),30,34,27,23,19,12,13,9.7,21,38,49,52,52,50,51,50,47,40,35,36,44,44,43,43
99,桃園市,觀音區,觀音,2016/4/25,懸浮微粒 PM 10  (μg/m 3 ),51,45,43,36,36,37,43,53,54,54,45,48,49,46,38,36,40,47,50,50,44,44,51,53
100,桃園市,觀音區,觀音,2016/4/25,氮氧化物 NOx (ppb),12,8.5,10,13,18,23,25,51,28,14,10,8.7,7.5,6.3,5.9,10,12,19,21,22,12,12,11,12
101,桃園市,觀音區,觀音,2016/4/25,二氧化硫 SO2 (ppb),2.3,1.9,2.6,3,4,4.5,5.5,12,7.1,3.4,2.3,1.9,1.7,1.5,1.3,3.3,3.9,3.2,3.7,4.1,3.5,4,3.9,4.1
102,桃園市,觀音區,觀音,2016/4/25,細懸浮微粒 PM 2.5  (μg/m 3 ),22,18,16,17,18,19,21,31,26,25,14,18,20,28,25,24,23,25,27,22,26,25,35,33
103,桃園市,觀音區,觀音,2016/4/25,一氧化氮 NO (ppb),0.5,0.5,0.4,0.9,0.8,1.6,4.1,19,6.8,2.8,1.8,1.4,1.1,0.9,0.8,1.3,1.4,1.4,1.4,1.2,0.9,0.8,0.6,0.7
104,桃園市,觀音區,觀音,2016/4/24,小時風向值 WD_HR (degrees),263,254,221,190,257,101,62,244,250,246,273,126,101,191,313,317,38,48,49,48,85,82,77,82
105,桃園市,觀音區,觀音,2016/4/24,相對濕度 RH (percent),90,92,92,92,92,92,92,92,91,87,90,90,88,77,72,74,79,86,88,90,90,91,92,92
106,桃園市,觀音區,觀音,2016/4/24,二氧化氮 NO2 (ppb),7.5,4.9,5.6,6.4,8.4,10,12,12,11,8.3,8.8,17,14,12,9.5,7.9,8.9,8.1,6.6,6.3,17,17,13,14
107,桃園市,觀音區,觀音,2016/4/24,酸雨 PH_RAIN (pH),0,0,0,0,0,6.3,0,0,6.2,5.2,4.6,0,0,0,0,0,0,0,0,0,0,0,0,4.5
108,桃園市,觀音區,觀音,2016/4/24,導電度 RAIN_COND (μmho/cm),0,0,0,0,0,21,0,0,17,18,24,0,0,0,0,0,0,0,0,0,0,0,0,164
109,桃園市,觀音區,觀音,2016/4/24,降雨強度 RAIN_INT (㎜),0,0,0,0,0,0.5,0,0,0.5,2,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5
110,桃園市,觀音區,觀音,2016/4/24,風速 WIND_SPEED (m/sec),2.4,1.2,1.2,1.6,0.5,0.6,1,0.6,2.6,1.7,1.7,1.3,2,1.3,2.1,1.8,1.4,2.3,2.3,2.6,2.5,2.2,2.2,0.5
111,桃園市,觀音區,觀音,2016/4/24,溫度 AMB_TEMP (℃),25,25,25,24,24,24,24,25,25,24,23,24,25,27,27,27,26,25,25,25,25,24,24,24
112,桃園市,觀音區,觀音,2016/4/24,風向 WIND_DIREC (degrees),264,244,207,184,210,119,355,242,256,262,107,150,88,208,312,336,42,46,49,53,90,66,84,137
113,桃園市,觀音區,觀音,2016/4/24,小時風速值 WS_HR (m/sec),1.7,1.8,0.9,1.2,0.1,0.3,0.5,0.1,1.7,1.9,0.4,1,1.5,0.6,1.5,1.1,1,1.4,1.8,2.4,2.2,2,2,1
114,桃園市,觀音區,觀音,2016/4/24,一氧化碳 CO (ppm),0.14,0.13,0.12,0.12,0.19,0.22,0.28,0.28,0.27,0.22,0.24,0.25,0.3,0.32,0.27,0.26,0.26,0.22,0.21,0.2,0.22,0.23,0.23,0.26
115,桃園市,觀音區,觀音,2016/4/24,臭氧 O3 (ppb),23,23,19,18,14,9.2,6.9,7.6,17,30,36,29,29,41,58,66,64,52,52,49,34,29,35,29
116,桃園市,觀音區,觀音,2016/4/24,懸浮微粒 PM 10  (μg/m 3 ),38,34,31,36,48,52,52,47,48,41,40,41,45,41,37,41,42,39,34,29,33,36,47,49
117,桃園市,觀音區,觀音,2016/4/24,氮氧化物 NOx (ppb),8.2,5.5,6.1,6.9,9,11,17,16,14,9.3,9.9,20,17,15,11,8.8,9.6,8.8,7.1,6.8,18,18,13,15
118,桃園市,觀音區,觀音,2016/4/24,二氧化硫 SO2 (ppb),3.3,1.8,2.4,2.1,1.9,1.8,2.2,2.6,2.1,1.5,1.5,2.6,3.5,3.1,3.4,3.4,3.5,2.9,2.7,2.8,4.7,6,3,4.6
119,桃園市,觀音區,觀音,2016/4/24,細懸浮微粒 PM 2.5  (μg/m 3 ),15,15,15,22,22,27,28,32,26,17,12,7,16,15,17,9,14,14,18,13,17,17,22,23
120,桃園市,觀音區,觀音,2016/4/24,一氧化氮 NO (ppb),0.7,0.6,0.6,0.5,0.6,1.1,4.8,3.9,2.9,1,1.1,2.4,3.2,3.4,1.8,0.9,0.8,0.8,0.5,0.5,0.8,0.7,0.6,0.8
121,桃園市,觀音區,觀音,2016/4/23,小時風向值 WD_HR (degrees),351,105,110,135,194,204,223,233,248,254,251,253,255,256,257,267,265,257,241,241,262,231,252,251
122,桃園市,觀音區,觀音,2016/4/23,相對濕度 RH (percent),91,92,92,92,92,92,91,86,80,78,74,68,75,81,86,82,78,80,86,88,89,88,88,88
123,桃園市,觀音區,觀音,2016/4/23,二氧化氮 NO2 (ppb),7.3,9,55,32,29,19,17,17,15,10,9.9,11,7.7,10,9.8,9.1,4.6,7.8,8.8,8.2,8.8,12,11,9.7
124,桃園市,觀音區,觀音,2016/4/23,酸雨 PH_RAIN (pH),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,桃園市,觀音區,觀音,2016/4/23,導電度 RAIN_COND (μmho/cm),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,桃園市,觀音區,觀音,2016/4/23,降雨強度 RAIN_INT (㎜),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,桃園市,觀音區,觀音,2016/4/23,風速 WIND_SPEED (m/sec),0.8,1.7,0.8,0.7,1.2,1.4,2,2.7,3.8,4.1,5.5,5.4,5.8,6.9,4.9,2.5,2,1.6,1.8,1.1,1.6,0.5,0.9,1
128,桃園市,觀音區,觀音,2016/4/23,溫度 AMB_TEMP (℃),24,24,24,24,24,24,25,26,27,28,29,29,28,28,27,26,26,26,26,25,25,25,25,25
129,桃園市,觀音區,觀音,2016/4/23,風向 WIND_DIREC (degrees),20,113,112,138,191,201,227,244,251,254,251,255,254,255,259,268,264,257,234,251,265,176,254,232
130,桃園市,觀音區,觀音,2016/4/23,小時風速值 WS_HR (m/sec),0.6,1.3,1.6,0.6,0.9,1.5,1.7,2.3,2.9,3.8,4.6,5.3,5.7,6.3,5.7,3.6,2.4,1.7,1.7,1.3,1.6,0.5,0.7,1
131,桃園市,觀音區,觀音,2016/4/23,一氧化碳 CO (ppm),0.25,0.27,0.32,0.45,0.44,0.34,0.33,0.34,0.3,0.25,0.25,0.32,0.24,0.2,0.21,0.15,0.17,0.19,0.15,0.16,0.16,0.15,0.15,0.14
132,桃園市,觀音區,觀音,2016/4/23,臭氧 O3 (ppb),47,41,17,5.7,1.7,4.4,5.6,7.8,12,23,32,52,56,52,52,29,35,31,24,22,21,20,18,19
133,桃園市,觀音區,觀音,2016/4/23,懸浮微粒 PM 10  (μg/m 3 ),59,60,77,88,92,80,73,68,59,48,42,48,50,61,59,56,43,34,30,35,40,42,36,37
134,桃園市,觀音區,觀音,2016/4/23,氮氧化物 NOx (ppb),8,9.7,56,34,33,21,22,25,24,15,13,13,9.1,11,11,11,5.9,8.9,9.7,9.1,9.5,13,12,11
135,桃園市,觀音區,觀音,2016/4/23,二氧化硫 SO2 (ppb),2.7,2.6,8.2,8.4,4.4,3.1,4.2,5.4,5,3.8,5.4,5.9,3.5,3.7,3.5,2,1.8,1.8,2,2.3,2.8,4.7,3.9,3.5
136,桃園市,觀音區,觀音,2016/4/23,細懸浮微粒 PM 2.5  (μg/m 3 ),39,37,44,50,57,50,38,29,22,22,22,24,23,24,25,22,13,9,15,17,12,8,10,17
