序號,縣市,鄉鎮市區,測站,監測日期,測項(單位),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
30,桃園市,觀音區,觀音,2016/10/30,導電度 RAIN_COND (μmho/cm),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,桃園市,觀音區,觀音,2016/10/30,降雨強度 RAIN_INT (㎜),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,桃園市,觀音區,觀音,2016/10/30,小時風向值 WD_HR (degrees),80,79,81,82,83,82,79,78,82,80,73,72,73,73,75,76,80,81,81,80,80,81,76,79
33,桃園市,觀音區,觀音,2016/10/30,一氧化氮 NO (ppb),0.4,0.5,0.5,0.6,0.5,0.6,0.9,1.1,1.6,2.1,1.9,1.6,1.6,1.3,1.2,1.4,1.3,1.1,0.8,0.8,1,1.1,0.9,0.6
34,桃園市,觀音區,觀音,2016/10/30,細懸浮微粒 PM 2.5  (μg/m 3 ),8,10,15,13,7,1,1,1,11,9,15,7,10,5,11,8,12,5,8,7,10,8,10,7
35,桃園市,觀音區,觀音,2016/10/29,二氧化硫 SO2 (ppb),2.8,2.6,2.1,2.5,2.3,2.3,2.7,2.4,2.2,2.7,2.3,2.6,2.1,2.6,2.4,2.2,2.3,1.7,2.3,2.2,2.1,2.1,1.9,1.8
36,桃園市,觀音區,觀音,2016/10/29,二氧化氮 NO2 (ppb),8.4,7.6,7.8,7.7,9.3,8.8,11,11,9.8,9.4,9,10,7.9,8.7,8.4,9.5,9.9,8.8,10,8.9,7.4,7.8,6.2,6.1
37,桃園市,觀音區,觀音,2016/10/29,相對濕度 RH (percent),88,87,85,86,90,89,88,88,85,83,84,85,84,85,90,90,90,90,89,88,87,85,85,82
38,桃園市,觀音區,觀音,2016/10/29,一氧化碳 CO (ppm),0.34,0.26,0.23,0.23,0.24,0.23,0.22,0.23,0.23,0.23,0.23,0.25,0.26,0.25,0.26,0.24,0.28,0.3,0.26,0.24,0.22,0.21,0.19,0.19
39,桃園市,觀音區,觀音,2016/10/29,臭氧 O3 (ppb),29,34,36,34,32,35,33,34,36,36,37,37,41,40,42,40,40,40,38,38,38,37,37,37
40,桃園市,觀音區,觀音,2016/10/29,懸浮微粒 PM 10  (μg/m 3 ),52,50,58,51,45,36,28,32,37,44,42,41,37,33,24,26,31,33,31,29,35,38,39,39
41,桃園市,觀音區,觀音,2016/10/29,氮氧化物 NOx (ppb),8.8,7.9,8.2,8.3,9.8,9.2,11,12,11,10,9.9,11,9.3,10,9.3,10,11,9.4,11,9.6,7.9,8.3,6.7,6.4
42,桃園市,觀音區,觀音,2016/10/29,風速 WIND_SPEED (m/sec),8.1,9.6,7.9,7.9,7,7,7.4,7.8,8.1,7.7,7.2,7.8,8.3,10,8.1,8.7,7.1,6.8,7.6,7.5,6.8,8.5,8.1,7.8
43,桃園市,觀音區,觀音,2016/10/29,溫度 AMB_TEMP (℃),26,26,26,25,25,25,24,24,25,25,25,25,25,25,23,23,23,23,23,23,23,23,23,23
44,桃園市,觀音區,觀音,2016/10/29,風向 WIND_DIREC (degrees),68,58,69,67,71,74,62,67,77,69,67,70,67,53,60,61,63,78,69,80,78,70,74,82
45,桃園市,觀音區,觀音,2016/10/29,小時風速值 WS_HR (m/sec),7.5,7.9,7.9,6.9,6.6,6.6,6.8,6.7,7.3,7.5,7.4,7.4,7.8,8.7,8.8,7.5,7.4,6.9,7.2,7.2,6.8,7.4,7.6,7.3
46,桃園市,觀音區,觀音,2016/10/29,酸雨 PH_RAIN (pH),0,0,0,0,5.8,0,0,0,0,0,0,0,0,0,0,0,5.9,0,5.3,0,0,0,0,0
47,桃園市,觀音區,觀音,2016/10/29,導電度 RAIN_COND (μmho/cm),0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,264,0,299,0,0,0,0,0
48,桃園市,觀音區,觀音,2016/10/29,降雨強度 RAIN_INT (㎜),0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0
49,桃園市,觀音區,觀音,2016/10/29,小時風向值 WD_HR (degrees),66,64,65,71,68,71,63,67,72,65,64,65,67,57,54,63,62,73,64,73,80,70,76,76
50,桃園市,觀音區,觀音,2016/10/29,一氧化氮 NO (ppb),0.4,0.3,0.4,0.6,0.4,0.4,0.7,0.9,1,1,1,1.3,1.4,1.3,0.9,0.9,0.7,0.6,0.5,0.6,0.5,0.5,0.5,0.4
51,桃園市,觀音區,觀音,2016/10/29,細懸浮微粒 PM 2.5  (μg/m 3 ),18,20,24,18,15,10,9,8,6,5,8,11,9,9,11,17,10,6,1,1,1,1,5,3
52,桃園市,觀音區,觀音,2016/10/28,二氧化硫 SO2 (ppb),5,4.1,5.8,4.1,3.2,3.2,2.6,2,2.1,3.7,3.5,2.6,2.4,2,1.8,2.1,2.6,3.9,4.6,4.5,4.9,5.9,5.1,3.3
53,桃園市,觀音區,觀音,2016/10/28,二氧化氮 NO2 (ppb),13,6.8,9.3,7.5,6.6,7.7,9.7,12,7.9,11,6.8,6.8,6.9,,8.1,6.3,8.2,11,12,8.9,9.8,12,14,8.7
54,桃園市,觀音區,觀音,2016/10/28,相對濕度 RH (percent),92,92,92,92,92,92,92,88,80,75,82,81,80,81,81,83,86,90,92,91,90,89,90,89
55,桃園市,觀音區,觀音,2016/10/28,一氧化碳 CO (ppm),0.25,0.23,0.32,0.29,0.27,0.28,0.27,0.41,0.31,0.31,0.22,0.23,0.22,0.19,0.19,0.2,0.24,0.26,0.22,0.21,0.22,0.25,0.18,0.14
56,桃園市,觀音區,觀音,2016/10/28,臭氧 O3 (ppb),32,39,34,39,39,36,33,33,43,48,47,47,52,58,59,59,60,54,49,56,51,48,34,21
57,桃園市,觀音區,觀音,2016/10/28,懸浮微粒 PM 10  (μg/m 3 ),88,78,67,66,70,76,66,73,64,67,57,56,50,54,53,59,57,61,62,64,62,64,60,54
58,桃園市,觀音區,觀音,2016/10/28,氮氧化物 NOx (ppb),14,8.1,11,7.9,7,8.3,11,13,9,13,8.4,8.2,8.2,,8.5,6.9,8.9,12,13,9.2,10,13,15,9.2
59,桃園市,觀音區,觀音,2016/10/28,風速 WIND_SPEED (m/sec),0.8,1.2,1.3,1.1,1,2.1,1,1.5,1.9,3,3.2,3.1,3,2.6,2.9,3,3.3,3.5,3.1,5.2,5.1,5.7,8.8,6.7
60,桃園市,觀音區,觀音,2016/10/28,溫度 AMB_TEMP (℃),25,26,26,26,26,26,26,27,27,28,28,28,28,28,28,28,27,27,27,27,27,27,27,27
61,桃園市,觀音區,觀音,2016/10/28,風向 WIND_DIREC (degrees),49,33,45,53,28,37,49,30,48,59,308,308,323,4.1,60,47,49,52,82,49,57,62,55,75
62,桃園市,觀音區,觀音,2016/10/28,小時風速值 WS_HR (m/sec),0.6,0.6,0.7,0.7,0.6,0.6,1.1,0.8,1,0.7,0.8,0.9,1.1,0.9,1.1,2.3,2.9,3.1,3,4.3,4.5,4.7,6.2,6.6
63,桃園市,觀音區,觀音,2016/10/28,酸雨 PH_RAIN (pH),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,桃園市,觀音區,觀音,2016/10/28,導電度 RAIN_COND (μmho/cm),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,桃園市,觀音區,觀音,2016/10/28,降雨強度 RAIN_INT (㎜),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,桃園市,觀音區,觀音,2016/10/28,小時風向值 WD_HR (degrees),64,41,37,45,42,33,53,52,46,31,357,332,340,15,46,47,48,49,63,55,60,66,59,69
67,桃園市,觀音區,觀音,2016/10/28,一氧化氮 NO (ppb),1.5,1.3,1.6,0.3,0.4,0.6,1,1.1,1.1,1.6,1.5,1.4,1.3,,0.5,0.6,0.7,0.5,0.6,0.3,0.4,0.5,0.5,0.5
68,桃園市,觀音區,觀音,2016/10/28,細懸浮微粒 PM 2.5  (μg/m 3 ),54,46,48,48,50,45,45,44,47,46,46,41,38,37,39,36,41,42,47,42,48,51,43,25
69,桃園市,觀音區,觀音,2016/10/27,二氧化硫 SO2 (ppb),5.7,9.7,8.2,6.7,7.5,7.6,4.6,5.6,8.9,6.4,4.7,4.2,3.5,2.9,,2.4,2.9,5.3,2.9,3,6.2,8.9,8.3,10
70,桃園市,觀音區,觀音,2016/10/27,二氧化氮 NO2 (ppb),34,43,41,15,15,17,9.3,8.2,11,6.9,4.8,4.7,6.1,6.3,,,10,14,12,11,17,19,19,25
71,桃園市,觀音區,觀音,2016/10/27,相對濕度 RH (percent),90,90,92,92,92,92,92,90,85,85,84,85,86,86,87,89,89,91,92,92,92,92,92,92
