日期,測站,SO2測站值,NO2測站值,NO+NO2測站值,NOX測站值,O3測站值,PM10測站值,PM2.5測站值,SO2模擬值,NO2模擬值,NO+NO2模擬值,NOX模擬值,O3模擬值,PM10模擬值,PM2.5模擬值
2016/7/1,觀音,2.4,9.7,10.5,10.0,14.0,29.0,8.0,1.5691133,10.42467,15.523615,15.523614,23.598312,13.946662,8.567679
2016/7/1,觀音,2.3,8.7,9.5,9.5,13.0,28.0,14.0,2.389388,9.678956,15.761441,15.761442,25.626143,19.778246,11.154191
2016/7/1,觀音,2.5,15.0,16.2,16.0,5.5,29.0,12.0,3.9739554,9.768699,16.618925,16.618925,27.08291,19.622944,11.446286
2016/7/1,觀音,3.6,20.0,30.0,30.0,1.3,35.0,11.0,3.1207771,7.5958943,12.685947,12.685947,31.461521,17.569794,10.255159
2016/7/1,觀音,3.6,18.0,25.8,26.0,1.8,37.0,9.0,1.7305233,5.370205,8.6702,8.670199,36.04014,17.195616,10.572953
2016/7/1,觀音,3.3,14.0,16.3,16.0,4.7,34.0,11.0,1.2800528,5.0950665,7.9386206,7.9386196,39.50832,14.898264,9.584241
2016/7/1,觀音,3.6,14.0,21.2,21.0,6.7,25.0,15.0,0.87380326,5.3754616,8.68136,8.68136,35.173588,9.427908,6.0147953
2016/7/1,觀音,4.2,11.0,18.4,19.0,14.0,22.0,11.0,0.78031117,5.975967,9.609709,9.609709,32.982536,7.2135262,4.398896
2016/7/1,觀音,3.5,7.3,11.0,11.0,22.0,24.0,15.0,0.68825424,6.57908,10.326623,10.326623,30.259813,6.813196,3.9926226
2016/7/1,觀音,3.0,6.4,9.4,9.4,22.0,21.0,11.0,0.77440655,7.573237,10.954085,10.954085,29.224321,7.6455135,4.3357735
2016/7/1,觀音,2.5,5.4,7.4,7.4,26.0,17.0,15.0,0.90008575,8.301532,10.560333,10.560333,26.856049,8.585595,4.7725163
2016/7/1,觀音,1.6,4.2,6.4,6.4,16.0,14.0,8.0,1.1050218,8.23806,8.850629,8.85063,26.386095,8.980993,5.006447
2016/7/1,觀音,1.7,8.2,14.799999999999999,15.0,15.0,17.0,6.0,1.2690041,8.086203,8.46581,8.46581,28.199821,9.5385895,5.4058185
2016/7/1,觀音,1.8,5.6,8.2,8.2,24.0,19.0,5.0,1.2534393,8.64507,9.104659,9.104659,27.82841,9.855385,5.867018
2016/7/1,觀音,2.0,2.6,3.8,3.7,27.0,20.0,5.0,1.6788485,9.457152,9.827394,9.827394,28.197308,11.616698,6.9398293
2016/7/1,觀音,3.3,3.7,4.9,4.9,37.0,21.0,9.0,3.0969844,13.995944,14.263387,14.263387,24.867085,16.887726,10.783432
2016/7/1,觀音,2.4,3.4,4.4,4.4,39.0,22.0,7.0,3.90838,16.27098,16.517115,16.517115,23.655247,21.273067,13.342171
2016/7/1,觀音,2.1,4.3,5.3,5.3,25.0,27.0,10.0,3.949109,16.44851,16.720785,16.720785,20.1884,23.320742,14.548262
2016/7/1,觀音,2.0,4.4,5.2,5.2,25.0,26.0,13.0,3.8518848,16.694536,16.987679,16.987679,17.353859,25.008114,15.98838
2016/7/1,觀音,2.0,4.6,5.1,5.1,22.0,28.0,12.0,3.7196834,15.410829,15.697445,15.697446,16.776268,18.123266,11.490969
2016/7/1,觀音,2.2,5.7,6.1000000000000005,6.1,21.0,29.0,15.0,3.157714,14.204292,14.518051,14.518051,16.305225,10.081919,6.1960955
2016/7/1,觀音,1.9,4.5,5.1,5.0,22.0,33.0,13.0,2.3402557,13.204786,13.498431,13.49843,17.702244,11.331741,7.0612473
2016/7/1,觀音,2.1,4.4,5.1000000000000005,5.1,21.0,31.0,11.0,2.0663695,12.995004,13.845021,13.845021,16.567703,13.963371,8.623813
2016/7/1,觀音,2.1,4.5,4.9,4.8,23.0,28.0,9.0,1.8655076,10.396733,14.227718,14.227718,17.508793,13.894165,8.42143
2016/7/2,觀音,1.9,8.5,9.1,9.0,14.0,28.0,8.0,1.6856058,7.7173424,12.083086,12.083087,22.098854,12.476088,7.505427
2016/7/2,觀音,3.1,18.0,19.3,19.0,7.0,32.0,10.0,1.5683368,6.9548197,10.872086,10.872086,28.933762,11.756649,7.3313017
2016/7/2,觀音,3.4,12.0,13.1,13.0,15.0,40.0,13.0,2.025932,7.702093,11.382033,11.382033,38.745575,13.885242,9.078485
2016/7/2,觀音,3.0,8.4,8.6,8.7,21.0,35.0,13.0,3.5718725,8.954446,12.878581,12.878581,45.985832,18.520205,12.446977
2016/7/2,觀音,3.1,10.0,10.3,10.0,17.0,32.0,19.0,2.319867,5.88029,8.953412,8.953412,41.392834,15.566164,10.03059
2016/7/2,觀音,3.7,17.0,18.2,18.0,10.0,31.0,17.0,1.4626317,4.6017523,7.178268,7.1782684,39.988438,13.136641,8.092176
2016/7/2,觀音,3.7,12.0,14.1,14.0,17.0,36.0,25.0,1.5186205,4.949574,7.42355,7.4235497,43.32733,13.897909,8.543417
2016/7/2,觀音,4.3,9.2,11.899999999999999,12.0,19.0,39.0,16.0,1.0884846,4.9046106,7.608492,7.608492,36.876858,10.421725,5.9674735
2016/7/2,觀音,3.7,6.9,9.7,9.7,22.0,36.0,13.0,0.9970538,4.6243505,6.896568,6.8965673,35.5142,8.155613,4.4419885
2016/7/2,觀音,3.0,4.4,5.7,5.7,31.0,31.0,9.0,0.9325889,4.809833,6.681014,6.681014,32.85487,6.597698,3.1669986
2016/7/2,觀音,2.7,4.9,6.0,6.0,33.0,29.0,11.0,1.0033851,5.62534,6.8695993,6.8696,33.09463,6.998667,3.6512153
2016/7/2,觀音,2.7,6.5,8.3,8.2,37.0,34.0,13.0,1.0995201,6.4820848,7.072786,7.072786,31.485804,7.7490296,4.378343
2016/7/2,觀音,2.6,3.2,3.7,3.8,35.0,34.0,8.0,1.3655953,8.2399645,8.765625,8.765626,27.627527,8.903408,5.0931125
2016/7/2,觀音,2.7,2.8,3.1999999999999997,3.1,35.0,36.0,6.0,1.9854391,12.721863,13.167002,13.167002,23.360853,7.675563,5.2003818
2016/7/2,觀音,2.6,3.6,4.0,3.9,34.0,28.0,3.0,2.2713013,14.402414,14.791353,14.791353,22.402409,9.556547,6.6437526
2016/7/2,觀音,2.6,7.5,8.5,8.4,33.0,32.0,3.0,1.6326162,13.13595,13.434019,13.43402,25.020308,9.086164,6.463028
2016/7/2,觀音,2.8,9.0,9.8,9.8,34.0,31.0,11.0,1.4332429,13.312506,13.529395,13.529395,24.261002,8.692079,6.0185285
2016/7/2,觀音,2.5,10.0,10.9,11.0,31.0,38.0,15.0,1.7461324,13.926044,14.177975,14.177975,20.257227,11.293859,6.9618797
2016/7/2,觀音,1.7,7.8,8.4,8.3,35.0,38.0,19.0,1.6592231,12.661571,13.001075,13.001075,18.71431,13.015011,7.887115
2016/7/2,觀音,2.1,8.1,8.4,8.5,30.0,31.0,13.0,1.7586274,13.4567795,13.953934,13.953934,15.267225,14.19489,8.70009
2016/7/2,觀音,2.6,9.6,9.799999999999999,9.8,22.0,21.0,8.0,1.8909847,13.389903,14.071323,14.071323,12.77051,16.255005,9.957359
2016/7/2,觀音,2.5,11.0,11.1,11.0,17.0,20.0,6.0,1.8611279,11.968895,12.609215,12.609216,13.127888,15.511993,9.394278
2016/7/2,觀音,3.8,22.0,22.8,23.0,5.1,26.0,9.0,1.9522188,10.350386,11.243804,11.243804,14.536517,14.759034,8.713723
2016/7/2,觀音,5.8,22.0,22.7,23.0,5.9,40.0,12.0,2.4616146,8.846671,12.455681,12.455682,16.164825,15.512321,9.046489
