日期,測站,SO2測站值,NO2測站值,NO+NO2測站值,NOX測站值,O3測站值,PM10測站值,PM2.5測站值,SO2模擬值,NO2模擬值,NO+NO2模擬值,NOX模擬值,O3模擬值,PM10模擬值,PM2.5模擬值
2016/10/1,觀音,,,,,,,20.0,3.1157637,9.34742,12.458491,12.458492,29.733038,23.28949,15.510678
2016/10/1,觀音,,,,,,,23.0,3.4097936,14.656748,21.417133,21.417133,32.249405,29.929813,20.745338
2016/10/1,觀音,,,,,,,17.0,3.184797,13.108979,18.565882,18.565882,42.705727,31.938686,22.29997
2016/10/1,觀音,,,,,,,11.0,2.9191625,11.883042,16.530514,16.530516,50.037384,28.061375,19.246552
2016/10/1,觀音,,,,,,,9.0,3.6310515,8.575302,11.573494,11.573494,58.375477,27.047773,18.448824
2016/10/1,觀音,,,,,,,9.0,3.4772503,4.4514294,5.6638336,5.6638336,68.77597,20.294321,14.295149
2016/10/1,觀音,,,,,,,14.0,3.0237088,6.397553,8.109046,8.109046,69.10163,16.592192,11.858636
2016/10/1,觀音,,,,,,,13.0,2.5454397,10.227328,12.930195,12.930196,64.05716,15.513683,11.1732
2016/10/1,觀音,,,,,,,15.0,2.3198583,10.578047,12.724736,12.724737,64.67264,15.194328,10.907318
2016/10/1,觀音,,,,,,,13.0,2.238564,9.791297,10.862884,10.862884,65.06603,14.560912,10.352821
2016/10/1,觀音,,,,,,,12.0,2.1466374,9.188288,9.362582,9.362583,75.97943,19.253256,13.892241
2016/10/1,觀音,,,,,,,48.0,2.2418947,8.981197,9.0775175,9.0775175,71.657616,23.447971,16.834316
2016/10/1,觀音,,,,,,,57.0,2.509604,9.429235,9.500945,9.500945,59.8987,18.364792,12.984217
2016/10/1,觀音,,,,,,,63.0,4.3603754,14.823592,14.883036,14.883036,43.247536,22.188395,15.401172
2016/10/1,觀音,,,,,,,34.0,6.671257,17.272991,17.312395,17.312397,42.935513,25.654655,17.049168
2016/10/1,觀音,,,,,,,31.0,4.938233,14.722976,14.899321,14.899321,21.632328,16.267569,8.902479
2016/10/1,觀音,,,,,,,24.0,3.988735,16.61702,16.998173,16.998173,12.922686,13.7789755,7.104126
2016/10/1,觀音,,,,,,,18.0,3.4546292,17.7802,18.32405,18.32405,10.204303,13.790134,7.2116947
2016/10/1,觀音,,,,,,,18.0,3.7209773,21.785913,22.968834,22.968834,6.408938,15.113932,8.2654085
2016/10/1,觀音,,,,,,,8.0,4.7214065,25.93319,28.04513,28.045132,3.9303572,18.76611,10.834739
2016/10/1,觀音,,,,,,,26.0,6.055696,29.273169,35.12912,35.129124,1.0698588,23.200922,14.069263
2016/10/1,觀音,,,,,,,19.0,6.8804564,32.927147,49.50615,49.50615,0.15457188,32.436535,21.394562
2016/10/1,觀音,,,,,,,22.0,7.939863,33.915756,55.937607,55.93761,0.05450852,35.931747,23.667744
2016/10/1,觀音,,,,,,,2.0,7.436242,22.52455,29.629662,29.629662,6.0378823,27.514587,16.733469
2016/10/2,觀音,6.2,15.0,24.1,24.0,0.3,26.0,12.0,5.3490567,11.004959,16.7784,16.7784,17.396654,21.10569,12.178159
2016/10/2,觀音,3.5,22.0,29.7,29.0,0.7,35.0,15.0,4.6800375,9.517697,14.309416,14.309416,27.714863,21.97102,13.167993
2016/10/2,觀音,3.7,20.0,27.0,27.0,0.5,33.0,18.0,4.7053137,14.238906,21.140015,21.140015,35.131985,28.286005,18.051945
2016/10/2,觀音,6.4,28.0,45.0,45.0,0.2,49.0,20.0,4.540913,14.948493,21.052704,21.052704,46.974483,34.04672,22.712603
2016/10/2,觀音,5.9,25.0,39.0,39.0,0.3,52.0,22.0,3.929041,9.342229,12.242752,12.242752,63.826912,33.100887,22.52705
2016/10/2,觀音,6.1,18.0,35.0,35.0,0.2,57.0,24.0,3.6099114,6.4576874,7.9782214,7.9782214,77.74553,30.19762,20.872343
2016/10/2,觀音,4.7,23.0,45.0,45.0,2.7,51.0,20.0,3.0067785,4.96105,6.071435,6.0714355,75.77957,25.877295,17.271103
2016/10/2,觀音,3.7,10.0,20.0,21.0,8.1,35.0,12.0,2.7238586,2.9752061,3.6016831,3.6016834,68.794685,21.900059,13.771309
2016/10/2,觀音,2.5,11.0,19.5,20.0,15.0,41.0,15.0,2.5036824,2.7492068,3.2849793,3.2849793,59.44421,19.88314,11.436762
2016/10/2,觀音,2.5,7.9,11.100000000000001,11.0,32.0,44.0,15.0,2.3537571,3.5870707,3.9838777,3.9838777,55.657776,19.98354,10.7913265
2016/10/2,觀音,3.1,9.6,13.1,13.0,38.0,50.0,18.0,2.665139,4.6304417,4.7179904,4.7179904,50.053043,19.653095,9.915066
2016/10/2,觀音,4.3,10.0,12.9,13.0,48.0,40.0,16.0,3.2931728,5.947369,5.9896293,5.9896293,47.26661,19.478437,9.9310255
2016/10/2,觀音,2.8,5.8,7.6,7.6,56.0,34.0,11.0,4.040275,8.202439,8.232886,8.232886,48.312748,19.794172,10.947221
2016/10/2,觀音,2.6,5.4,7.2,7.2,52.0,39.0,9.0,4.457598,12.503874,12.524129,12.524129,45.38533,21.17026,12.723044
2016/10/2,觀音,2.3,3.2,4.7,4.7,44.0,34.0,6.0,2.4569569,13.129074,13.164092,13.164093,31.47309,18.642935,11.161248
2016/10/2,觀音,2.3,3.7,5.2,5.2,43.0,33.0,15.0,3.7830706,15.084326,15.138717,15.138718,27.713684,22.029474,12.927849
2016/10/2,觀音,3.6,6.2,8.0,7.9,42.0,26.0,15.0,5.33633,16.968449,17.039183,17.039183,26.549181,26.135548,15.33297
2016/10/2,觀音,1.9,5.8,7.3,7.3,29.0,32.0,13.0,5.751627,17.12333,17.191017,17.191017,25.35465,28.568562,16.877714
2016/10/2,觀音,2.6,9.1,10.4,10.0,29.0,33.0,12.0,5.805317,16.13455,16.223349,16.22335,20.70797,26.652706,15.095665
2016/10/2,觀音,4.0,14.0,17.1,17.0,9.9,41.0,20.0,6.4367604,15.42948,15.5415945,15.5415945,18.44811,23.979153,13.29554
2016/10/2,觀音,9.2,17.0,34.0,34.0,0.0,41.0,23.0,6.9441767,14.934217,15.064329,15.064329,17.88191,19.951897,11.203442
2016/10/2,觀音,6.7,12.0,18.0,18.0,4.2,38.0,13.0,7.42413,16.524576,16.679401,16.679401,16.094767,22.933224,13.171242
