序號,縣市,鄉鎮市區,測站,監測日期,測項(單位),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
17,桃園市,觀音區,觀音,2016/1/31,細懸浮微粒 PM 2.5  (μg/m 3 ),24,23,21,17,18,18,16,17,15,17,19,21,18,19,19,19,18,19,17,17,18,15,15,14
18,桃園市,觀音區,觀音,2016/1/30,二氧化硫 SO2 (ppb),5.2,4.6,5.2,4.4,5.2,5.9,2.2,5.4,8.4,6.9,6.3,2.9,1.6,1.5,2.2,3,2.7,1.9,2.5,2.6,5.5,7.4,6.9,4.7
19,桃園市,觀音區,觀音,2016/1/30,二氧化氮 NO2 (ppb),11,11,11,11,10,11,5,9.8,12,14,12,6.7,3.7,3.8,5.9,8.2,8.6,6.3,7.3,7,8.9,10,9.4,8.4
20,桃園市,觀音區,觀音,2016/1/30,相對濕度 RH (percent),92,92,92,92,92,91,90,89,87,86,85,83,84,86,87,85,85,86,88,87,84,83,81,80
21,桃園市,觀音區,觀音,2016/1/30,一氧化碳 CO (ppm),0.28,0.31,0.31,0.28,0.27,0.26,0.25,0.27,0.29,0.28,0.29,0.28,0.26,0.25,0.27,0.28,0.29,0.31,0.35,0.36,0.34,0.31,0.28,0.28
22,桃園市,觀音區,觀音,2016/1/30,臭氧 O3 (ppb),21,21,21,24,27,29,36,32,30,29,31,38,39,40,38,38,37,39,37,38,35,35,37,40
23,桃園市,觀音區,觀音,2016/1/30,懸浮微粒 PM 10  (μg/m 3 ),30,28,32,30,34,35,37,32,32,33,35,37,42,38,34,34,37,40,42,44,41,39,39,46
24,桃園市,觀音區,觀音,2016/1/30,氮氧化物 NOx (ppb),12,12,12,12,11,12,6.2,11,14,16,15,9,5,5,7.2,9.8,10,7.7,8.5,8.3,10,11,11,9.3
25,桃園市,觀音區,觀音,2016/1/30,風速 WIND_SPEED (m/sec),5.6,4.7,6,4.8,4.3,6.9,7,6.2,6.4,5.3,6.5,6.2,5.4,6.2,5,6.6,6.5,7.1,6.7,8,6.9,7.1,8.4,8.7
26,桃園市,觀音區,觀音,2016/1/30,溫度 AMB_TEMP (℃),16,16,16,16,16,16,16,16,16,16,16,16,16,15,15,15,15,15,15,15,15,15,15,16
27,桃園市,觀音區,觀音,2016/1/30,風向 WIND_DIREC (degrees),85,62,47,68,55,49,56,63,62,61,50,46,47,51,58,48,51,46,59,53,67,66,55,52
28,桃園市,觀音區,觀音,2016/1/30,小時風速值 WS_HR (m/sec),5.7,4.8,5.3,4.2,4.9,5.5,6.6,5.6,5.5,5.4,5.4,6.1,5.2,5.7,5.5,6.2,5.8,6.8,6.2,7.2,7.2,6.8,7,7.8
29,桃園市,觀音區,觀音,2016/1/30,酸雨 PH_RAIN (pH),4.5,4.5,4.3,4.3,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,桃園市,觀音區,觀音,2016/1/30,導電度 RAIN_COND (μmho/cm),13,13,18,25,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,桃園市,觀音區,觀音,2016/1/30,降雨強度 RAIN_INT (㎜),1,3,1.5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,桃園市,觀音區,觀音,2016/1/30,小時風向值 WD_HR (degrees),70,77,65,54,57,56,49,60,65,60,57,50,50,50,52,53,54,51,58,55,59,64,63,54
33,桃園市,觀音區,觀音,2016/1/30,一氧化氮 NO (ppb),1.2,1.3,1.1,1.1,1.2,1.1,1.1,1.5,1.9,2.3,2.8,2.3,1.4,1.2,1.3,1.6,1.5,1.3,1.2,1.2,1.3,1.2,1.2,0.9
34,桃園市,觀音區,觀音,2016/1/30,細懸浮微粒 PM 2.5  (μg/m 3 ),10,92*,89*,89*,90*,89*,87*,88*,,,,8,9,9,11,10,12,13,13,18,20,19,22,22
35,桃園市,觀音區,觀音,2016/1/29,二氧化硫 SO2 (ppb),6,3.2,2.5,2.6,2.6,2.3,2.3,2.3,2,1.8,5.3,2.9,3.6,5.6,3.6,4.2,4.7,3.6,4.5,9,4.3,4.3,4.6,2.2
36,桃園市,觀音區,觀音,2016/1/29,二氧化氮 NO2 (ppb),30,15,4.7,2.7,6.8,8,5.6,8.1,6.5,9,23,23,26,23,17,20,22,19,41,35,27,7.7,11,3.4
37,桃園市,觀音區,觀音,2016/1/29,相對濕度 RH (percent),92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92
38,桃園市,觀音區,觀音,2016/1/29,一氧化碳 CO (ppm),0.42,0.25,0.14,0.17,0.32,0.38,0.29,0.24,0.18,0.17,0.23,0.27,0.36,0.26,0.24,0.27,0.32,0.29,0.63,0.56,0.35,0.17,0.18,0.16
39,桃園市,觀音區,觀音,2016/1/29,臭氧 O3 (ppb),5.7,22,33,32,21,20,26,29,32,29,17,20,16,18,24,21,19,21,1.1,5.5,11,29,26,32
40,桃園市,觀音區,觀音,2016/1/29,懸浮微粒 PM 10  (μg/m 3 ),38,33,31,25,25,28,26,28,25,27,22,20,24,28,34,31,30,23,27,33,37,32,30,28
41,桃園市,觀音區,觀音,2016/1/29,氮氧化物 NOx (ppb),32,17,5.9,3.6,7.7,9.2,7,10,8.4,11,28,29,32,29,21,24,28,22,59,61,31,8.9,12,4.2
42,桃園市,觀音區,觀音,2016/1/29,風速 WIND_SPEED (m/sec),1.7,2.9,2.2,2.7,2.7,3.2,4.2,4.8,1.9,2,2.1,1.6,1.5,2.3,3.2,1,1.6,2.8,1.5,2.2,2.9,3.2,3.3,5.3
43,桃園市,觀音區,觀音,2016/1/29,溫度 AMB_TEMP (℃),17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
44,桃園市,觀音區,觀音,2016/1/29,風向 WIND_DIREC (degrees),47,49,49,58,38,51,81,104,67,94,107,96,68,91,107,61,56,106,57,50,74,51,57,53
45,桃園市,觀音區,觀音,2016/1/29,小時風速值 WS_HR (m/sec),1.6,1.9,1.7,2,2,2.4,2.1,1.3,1.9,1.8,2.1,2.7,1.2,2,2.7,1.6,1.3,2.7,2,2.2,2.8,3,2.7,3.8
46,桃園市,觀音區,觀音,2016/1/29,酸雨 PH_RAIN (pH),0,0,4.8,0,0,3.9,0,4.1,4.8,5.4,4.9,4.9,4.8,4.6,4.5,4.5,0,4.6,0,0,4.6,4.4,4.5,4.4
47,桃園市,觀音區,觀音,2016/1/29,導電度 RAIN_COND (μmho/cm),0,0,6.7,0,0,47,0,29,8.8,7,6.7,6.9,7,6.7,6.6,7.1,0,7.1,0,0,6.9,7.2,6.7,11
48,桃園市,觀音區,觀音,2016/1/29,降雨強度 RAIN_INT (㎜),0,0,0.5,0,0,0.5,0,3.5,9.5,4,6.5,3.5,3,2,0.5,0.5,0,1.5,0,0,2.5,3.5,1,2.5
49,桃園市,觀音區,觀音,2016/1/29,小時風向值 WD_HR (degrees),58,55,54,54,44,54,66,91,61,65,95,102,81,62,99,86,45,97,90,58,55,48,58,51
50,桃園市,觀音區,觀音,2016/1/29,一氧化氮 NO (ppb),2.8,1.8,1.3,0.9,1,1.2,1.4,2.1,2,2,4.9,6.3,6.6,5.3,4.4,4,6,2.5,18,26,4.1,1.2,1.4,0.8
51,桃園市,觀音區,觀音,2016/1/29,細懸浮微粒 PM 2.5  (μg/m 3 ),13,13,14,13,12,11,7,6,9,9,10,10,9,11,12,13,11,11,11,14,13,12,14,11
52,桃園市,觀音區,觀音,2016/1/28,二氧化硫 SO2 (ppb),1.6,2.7,2.9,2.4,2.2,2.2,2.4,4.9,3.6,4,3.4,2.5,3.1,2.8,1.9,2.3,2.2,1.8,1.5,2.6,2.8,4.8,8.1,4.6
53,桃園市,觀音區,觀音,2016/1/28,二氧化氮 NO2 (ppb),7.5,14,12,10,9.7,14,21,23,29,28,22,14,16,12,19,16,14,14,10,18,26,29,35,28
54,桃園市,觀音區,觀音,2016/1/28,相對濕度 RH (percent),92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92
55,桃園市,觀音區,觀音,2016/1/28,一氧化碳 CO (ppm),0.27,0.31,0.32,0.32,0.31,0.31,0.38,0.54,0.63,0.62,0.45,0.37,0.4,0.32,0.3,0.29,0.3,0.3,0.24,0.26,0.3,0.37,0.37,0.36
56,桃園市,觀音區,觀音,2016/1/28,臭氧 O3 (ppb),23,15,16,18,18,12,6.2,4,2.2,5.7,13,20,20,27,17,22,27,27,30,23,19,9.3,4.4,8.3
57,桃園市,觀音區,觀音,2016/1/28,懸浮微粒 PM 10  (μg/m 3 ),53,65,63,59,55,52,64,69,79,74,70,69,61,51,38,28,34,29,28,23,27,31,34,34
58,桃園市,觀音區,觀音,2016/1/28,氮氧化物 NOx (ppb),8.5,15,13,12,11,16,25,38,59,50,31,20,20,16,23,20,16,16,13,20,28,36,43,30
59,桃園市,觀音區,觀音,2016/1/28,風速 WIND_SPEED (m/sec),1.8,1.8,1.5,2.1,0.8,1.4,1.2,0.6,0.7,1.1,1.8,1.3,2.1,2.9,3.1,3.4,2.3,0.8,0.8,1.9,3.6,1.9,1.9,1.9
60,桃園市,觀音區,觀音,2016/1/28,酸雨 PH_RAIN (pH),0,0,0,0,0,0,0,0,4.7,4.5,4.2,0,4.3,4.1,4.1,0,4.2,4.3,0,0,0,0,0,0
61,桃園市,觀音區,觀音,2016/1/28,溫度 AMB_TEMP (℃),16,16,16,16,16,16,16,16,16,17,17,17,18,18,17,17,17,17,17,17,17,17,17,17
62,桃園市,觀音區,觀音,2016/1/28,風向 WIND_DIREC (degrees),220,232,257,264,206,190,227,214,71,271,35,356,61,100,48,50,315,44,105,117,113,74,91,87
63,桃園市,觀音區,觀音,2016/1/28,小時風速值 WS_HR (m/sec),1.6,1.9,1.2,2.1,1.2,1,0.8,0.5,0.3,0.1,1.1,1,0.9,0.9,1.8,2.2,1.1,1,0.8,1.8,2.2,1.6,2,2.2
64,桃園市,觀音區,觀音,2016/1/28,導電度 RAIN_COND (μmho/cm),0,0,0,0,0,0,0,0,14,6.8,9.4,0,9.9,22,24,0,24,14,0,0,0,0,0,0
65,桃園市,觀音區,觀音,2016/1/28,降雨強度 RAIN_INT (㎜),0,0,0,0,0,0,0,0,1,0.5,0.5,0,0.5,1,1,0,1,1,0,0,0,0,0,0
66,桃園市,觀音區,觀音,2016/1/28,小時風向值 WD_HR (degrees),224,235,240,247,221,187,206,163,160,48,54,45,345,326,59,54,321,318,86,107,109,77,79,94
67,桃園市,觀音區,觀音,2016/1/28,一氧化氮 NO (ppb),1,1.2,1.1,1.2,1.1,1.9,4.2,15,31,22,9.5,5.8,4.4,3.3,4.2,3.6,2.5,1.9,2.1,2.5,2.2,6.9,8,1.9
68,桃園市,觀音區,觀音,2016/1/28,細懸浮微粒 PM 2.5  (μg/m 3 ),24,27,26,27,28,26,29,29,29,32,31,32,32,32,28,28,26,20,17,15,14,12,14,12
69,桃園市,觀音區,觀音,2016/1/27,二氧化硫 SO2 (ppb),8.4,3.5,4.3,7.4,7.5,6.2,4.7,4.3,4.5,5.2,7.4,9.1,8.8,3.1,2.7,3.9,2.5,1.8,1.7,1.6,1.8,2.4,2,1.9
70,桃園市,觀音區,觀音,2016/1/27,二氧化氮 NO2 (ppb),30,27,34,34,39,37,27,26,30,33,29,39,36,13,9.7,9.9,9.5,8.8,9.5,7.6,11,18,10,4.5
71,桃園市,觀音區,觀音,2016/1/27,相對濕度 RH (percent),62,67,72,71,72,76,80,81,87,88,85,81,74,75,78,80,87,92,92,92,92,92,92,92
72,桃園市,觀音區,觀音,2016/1/27,一氧化碳 CO (ppm),0.45,0.49,0.54,0.55,0.54,0.56,0.55,0.54,0.57,0.61,0.48,0.68,0.59,0.3,0.26,0.23,0.23,0.28,0.31,0.27,0.32,0.39,0.28,0.23
73,桃園市,觀音區,觀音,2016/1/27,臭氧 O3 (ppb),13,14,6.1,3.2,2.1,0.9,1.1,1.7,2.8,4.1,12,10,20,33,34,35,35,36,32,31,24,13,27,30
74,桃園市,觀音區,觀音,2016/1/27,懸浮微粒 PM 10  (μg/m 3 ),47,39,41,38,48,45,44,44,50,62,63,73,72,67,46,33,39,55,66,70,58,63,51,56
75,桃園市,觀音區,觀音,2016/1/27,氮氧化物 NOx (ppb),31,28,37,39,54,57,36,44,60,70,48,69,53,19,12,12,11,9.9,10,8.7,12,19,11,5.6
76,桃園市,觀音區,觀音,2016/1/27,風速 WIND_SPEED (m/sec),1,0.5,0.5,0.5,0.5,1.2,2,1.5,1.5,1.5,1.6,2.5,3.6,2.6,1.9,1.7,2,1.5,2.5,2.3,1.5,2.4,2.1,1.8
77,桃園市,觀音區,觀音,2016/1/27,溫度 AMB_TEMP (℃),16,16,15,15,15,14,14,14,14,15,17,18,19,19,19,19,18,18,17,17,16,16,17,16
78,桃園市,觀音區,觀音,2016/1/27,風向 WIND_DIREC (degrees),85,217,155,103,133,218,236,208,173,137,59,49,48,62,311,311,297,232,220,195,185,261,226,209
79,桃園市,觀音區,觀音,2016/1/27,小時風速值 WS_HR (m/sec),0.6,0.3,0.6,1,0.5,0.7,1.7,1.6,1.4,1.2,1.5,1.4,3,2.5,0.8,1.2,1.3,0.7,2.3,2,1.4,1.4,2.1,1.9
80,桃園市,觀音區,觀音,2016/1/27,酸雨 PH_RAIN (pH),0,0,0,0,0,0,0,5.7,5,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
81,桃園市,觀音區,觀音,2016/1/27,導電度 RAIN_COND (μmho/cm),0,0,0,0,0,0,0,6.8,11,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
82,桃園市,觀音區,觀音,2016/1/27,降雨強度 RAIN_INT (㎜),0,0,0,0,0,0,0,0.5,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
83,桃園市,觀音區,觀音,2016/1/27,小時風向值 WD_HR (degrees),122,141,174,107,135,218,234,225,201,163,97,37,50,53,27,320,289,242,224,207,192,251,250,202
84,桃園市,觀音區,觀音,2016/1/27,一氧化氮 NO (ppb),0.9,0.9,2.9,5.5,15,19,9.4,18,29,37,19,30,17,5.6,2.2,2.3,1.7,1.2,1,1.2,1.4,1.5,1.4,1.1
85,桃園市,觀音區,觀音,2016/1/27,細懸浮微粒 PM 2.5  (μg/m 3 ),20,20,20,17,17,20,21,21,22,25,25,25,23,24,18,20,16,14,16,17,20,19,22,22
86,桃園市,觀音區,觀音,2016/1/26,二氧化硫 SO2 (ppb),13,15,14,13,12,13,6.8,12,6.2,5.4,2.8,,,2.7,2.8,2.3,2.3,4.9,12,15,4.5,6.8,5.8,7.5
87,桃園市,觀音區,觀音,2016/1/26,二氧化氮 NO2 (ppb),24,31,23,22,24,22,24,30,17,17,13,,,8.7,11,9.4,15,29,45,51,33,31,29,30
88,桃園市,觀音區,觀音,2016/1/26,相對濕度 RH (percent),64,65,65,65,65,65,65,64,61,55,51,48,46,43,42,48,55,53,58,63,65,63,62,64
89,桃園市,觀音區,觀音,2016/1/26,一氧化碳 CO (ppm),0.34,0.38,0.33,0.33,0.32,0.36,0.31,0.37,0.29,0.33,0.31,,,0.3,0.3,0.3,0.36,0.48,0.56,0.68,0.66,0.63,0.52,0.44
90,桃園市,觀音區,觀音,2016/1/26,臭氧 O3 (ppb),23,18,24,23,22,26,24,19,30,33,38,,43,46,44,46,37,21,3.4,2.1,6.9,9,10,12
91,桃園市,觀音區,觀音,2016/1/26,懸浮微粒 PM 10  (μg/m 3 ),51,43,43,37,47,48,49,51,52,55,43,,38,32,36,37,43,50,52,55,46,40,37,39
92,桃園市,觀音區,觀音,2016/1/26,氮氧化物 NOx (ppb),25,32,23,23,25,23,26,35,22,23,17,,,11,14,12,17,32,52,60,36,33,30,31
93,桃園市,觀音區,觀音,2016/1/26,風速 WIND_SPEED (m/sec),4,4.9,3.9,3.2,4,4.4,3.9,4.2,5.8,5.9,5.8,4.1,4.4,3.2,3.2,2.7,2.2,1.9,2.2,2.8,1.3,2.3,1.1,0.7
94,桃園市,觀音區,觀音,2016/1/26,溫度 AMB_TEMP (℃),8.7,8.6,8.8,8.9,9.4,9.8,11,12,13,15,17,18,19,20,20,19,18,18,17,16,15,16,16,16
95,桃園市,觀音區,觀音,2016/1/26,風向 WIND_DIREC (degrees),85,84,86,82,82,83,82,71,84,83,91,87,84,67,51,53,51,79,86,93,61,93,47,125
96,桃園市,觀音區,觀音,2016/1/26,小時風速值 WS_HR (m/sec),4.4,4.4,4.3,3.5,3.9,4.1,3.8,3.8,4.8,5.5,5.9,5,4.2,3.1,2.2,2.1,1.7,2.2,1.7,2.3,1.9,1.2,0.9,0.8
97,桃園市,觀音區,觀音,2016/1/26,酸雨 PH_RAIN (pH),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,桃園市,觀音區,觀音,2016/1/26,導電度 RAIN_COND (μmho/cm),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,桃園市,觀音區,觀音,2016/1/26,降雨強度 RAIN_INT (㎜),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,桃園市,觀音區,觀音,2016/1/26,小時風向值 WD_HR (degrees),83,84,84,82,83,84,84,78,78,84,89,89,86,81,63,52,51,82,83,88,80,74,70,57
101,桃園市,觀音區,觀音,2016/1/26,一氧化氮 NO (ppb),0.7,0.7,0.5,0.7,0.7,0.8,1.4,4.8,4.8,5.5,4.6,,,2.4,2.9,2.4,2,3.5,7.9,8.6,2.8,2.7,1.6,1.2
102,桃園市,觀音區,觀音,2016/1/26,細懸浮微粒 PM 2.5  (μg/m 3 ),19,19,21,20,21,19,23,24,22,22,18,,17,16,16,13,14,14,15,18,20,18,20,20
103,桃園市,觀音區,觀音,2016/1/25,二氧化硫 SO2 (ppb),2.3,1.9,2.3,2.1,2.3,2.9,3.9,2.9,3.9,3.9,3.7,3.7,3.2,3.4,3.6,3.8,5,5.7,5.8,5.4,4.2,3.7,8.1,13
104,桃園市,觀音區,觀音,2016/1/25,二氧化氮 NO2 (ppb),2,1.7,2.3,2.4,2.8,6,9.4,9.6,13,14,12,8.5,7.8,8.6,11,11,14,15,15,13,11,8.1,15,22
105,桃園市,觀音區,觀音,2016/1/25,相對濕度 RH (percent),51,50,50,53,54,55,57,59,57,57,56,51,54,57,59,60,61,61,61,61,62,62,63,64
106,桃園市,觀音區,觀音,2016/1/25,一氧化碳 CO (ppm),0.17,0.17,0.16,0.17,0.18,0.21,0.23,0.25,0.26,0.24,0.24,0.23,0.21,0.21,0.22,0.23,0.25,0.26,0.26,0.23,0.24,0.22,0.26,0.3
107,桃園市,觀音區,觀音,2016/1/25,臭氧 O3 (ppb),43,44,41,42,41,37,34,32,30,29,30,34,34,33,33,35,34,34,34,35,38,40,32,27
108,桃園市,觀音區,觀音,2016/1/25,懸浮微粒 PM 10  (μg/m 3 ),52,46,51,50,54,53,57,54,57,50,55,52,53,48,43,46,47,49,48,50,51,55,57,55
109,桃園市,觀音區,觀音,2016/1/25,氮氧化物 NOx (ppb),2.7,2.3,2.9,2.7,3.3,6.5,10,11,15,16,15,11,10,11,13,13,16,16,16,14,12,8.8,16,22
110,桃園市,觀音區,觀音,2016/1/25,風速 WIND_SPEED (m/sec),5.1,4.6,4.9,5.9,4.5,6.6,5.9,5.7,5.2,6.3,6.5,5.5,6.4,6.8,5.7,5.3,5.8,4.4,5.9,4.7,5.5,5.6,4.8,5.4
111,桃園市,觀音區,觀音,2016/1/25,溫度 AMB_TEMP (℃),6.4,6,5.7,5.7,5.8,6,6,5.8,6.2,6.7,7.2,8.5,9,9.2,9.3,9.4,9.5,9.3,9.2,9.4,9.4,9.6,9.2,8.7
112,桃園市,觀音區,觀音,2016/1/25,風向 WIND_DIREC (degrees),49,58,53,51,63,55,70,89,88,88,87,86,84,81,80,76,85,87,85,86,79,79,87,84
113,桃園市,觀音區,觀音,2016/1/25,小時風速值 WS_HR (m/sec),5.2,5.2,4.5,4.9,4.9,5.4,4.9,5.1,5.6,5.6,5.8,6.3,5.6,5.8,5.3,4.9,5.2,5.4,5.3,4.8,4.9,5.1,4.8,4.8
114,桃園市,觀音區,觀音,2016/1/25,酸雨 PH_RAIN (pH),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,桃園市,觀音區,觀音,2016/1/25,導電度 RAIN_COND (μmho/cm),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,桃園市,觀音區,觀音,2016/1/25,降雨強度 RAIN_INT (㎜),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,桃園市,觀音區,觀音,2016/1/25,小時風向值 WD_HR (degrees),53,52,53,54,54,59,74,81,87,88,87,88,82,80,81,78,84,85,84,84,80,81,86,84
118,桃園市,觀音區,觀音,2016/1/25,一氧化氮 NO (ppb),0.7,0.7,0.6,0.3,0.4,0.6,0.8,1.2,2.1,2.5,2.6,2.5,2.6,2.2,2.5,2,2,1.6,1.2,1,1,0.7,0.7,0.7
119,桃園市,觀音區,觀音,2016/1/25,細懸浮微粒 PM 2.5  (μg/m 3 ),17,14,16,15,12,12,13,12,13,15,17,18,18,19,19,18,19,20,16,17,20,21,20,21
120,桃園市,觀音區,觀音,2016/1/24,二氧化硫 SO2 (ppb),7.7,5,4.9,3.9,4.7,4.2,2.7,2.7,2.8,2.6,2.6,2.7,2.4,2.3,2.2,2.3,2.2,2.5,2.6,2.4,2.6,3,2.7,2
121,桃園市,觀音區,觀音,2016/1/24,二氧化氮 NO2 (ppb),8.6,6.1,8.4,5.6,8,7.6,4.2,4.2,4.1,3.5,3.8,3.6,3,2.6,2.5,3,2.8,4.2,3.9,3,3.8,4.3,3.8,2.4
122,桃園市,觀音區,觀音,2016/1/24,相對濕度 RH (percent),57,57,63,59,63,74,53,49,49,47,49,48,48,47,46,46,45,50,49,49,50,49,50,49
123,桃園市,觀音區,觀音,2016/1/24,一氧化碳 CO (ppm),0.41,0.32,0.3,0.31,0.32,0.32,0.25,0.25,0.23,0.22,0.23,0.21,0.19,0.19,0.18,0.18,0.19,0.21,0.19,0.19,0.19,0.18,0.17,0.17
124,桃園市,觀音區,觀音,2016/1/24,臭氧 O3 (ppb),36,37,36,39,36,35,41,40,41,41,41,42,42,43,45,45,46,44,44,44,43,42,42,43
125,桃園市,觀音區,觀音,2016/1/24,懸浮微粒 PM 10  (μg/m 3 ),73,69,60,54,47,43,48,44,53,51,57,57,59,58,57,59,62,63,61,59,61,63,64,56
126,桃園市,觀音區,觀音,2016/1/24,氮氧化物 NOx (ppb),9.5,6.9,9.2,6.2,8.7,8.5,5.1,5.1,5.2,4.8,5.2,5,3.9,3.6,3.6,3.9,3.8,5.4,4.9,3.9,4.8,5.2,4.6,3
127,桃園市,觀音區,觀音,2016/1/24,風速 WIND_SPEED (m/sec),5.8,5.6,5.4,4.5,4.4,3.3,4.9,5.2,5,5.5,5,5.7,4.9,4.9,4.9,3.2,4.3,4.1,3.7,4.4,3.9,4.8,6,4.9
128,桃園市,觀音區,觀音,2016/1/24,溫度 AMB_TEMP (℃),8.8,7.9,6.8,6.3,5.9,5.4,6.1,6,5.9,5.9,5.8,5.7,5.4,5.2,5.2,5.1,5.1,5.2,5.3,5.5,6,6.3,6.6,6.7
129,桃園市,觀音區,觀音,2016/1/24,風向 WIND_DIREC (degrees),57,67,64,65,80,80,46,54,53,53,53,48,49,51,48,58,51,60,53,47,53,50,48,53
130,桃園市,觀音區,觀音,2016/1/24,小時風速值 WS_HR (m/sec),6.2,6,5.7,5.2,4.5,3.8,4.5,4.7,5,5.1,4.8,4.8,4.6,4.5,4.3,3.2,3.5,3.5,3.9,3.8,3.9,4.1,4.8,5.3
131,桃園市,觀音區,觀音,2016/1/24,酸雨 PH_RAIN (pH),0,0,0,0,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,桃園市,觀音區,觀音,2016/1/24,導電度 RAIN_COND (μmho/cm),0,0,0,0,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
