序號,縣市,鄉鎮市區,測站,監測日期,測項(單位),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,桃園市,觀音區,觀音,2016/1/31,二氧化硫 SO2 (ppb),3,4.6,4.4,4.1,5.5,4.1,3.4,3.7,5.1,5.8,3.2,4.6,2.6,3.5,5,4.1,2.8,5.8,5.1,4.5,1.4,2.5,2.9,1.9
2,桃園市,觀音區,觀音,2016/1/31,二氧化氮 NO2 (ppb),6,9.2,8.4,8.7,9.1,8.1,7.4,7.7,9,10,6.1,6.8,8.4,7.5,8.5,8.4,6.7,10,8.1,8.7,3.4,5.1,6.1,3.7
3,桃園市,觀音區,觀音,2016/1/31,相對濕度 RH (percent),79,79,80,80,80,80,80,79,79,77,69,67,62,66,69,71,75,79,84,89,90,91,91,91
4,桃園市,觀音區,觀音,2016/1/31,一氧化碳 CO (ppm),0.26,0.27,0.28,0.26,0.24,0.24,0.21,0.22,0.21,0.22,0.24,0.26,0.26,0.24,0.24,0.23,0.24,0.25,0.28,0.24,0.23,0.22,0.22,0.26
5,桃園市,觀音區,觀音,2016/1/31,臭氧 O3 (ppb),42,40,39,39,38,39,39,39,37,36,41,42,43,43,41,42,42,39,40,40,45,42,43,47
6,桃園市,觀音區,觀音,2016/1/31,懸浮微粒 PM 10  (μg/m 3 ),47,52,51,55,55,55,50,52,50,49,46,47,49,55,63,68,66,54,51,43,42,33,33,31
7,桃園市,觀音區,觀音,2016/1/31,氮氧化物 NOx (ppb),6.9,10,9.4,9.4,9.7,8.8,7.9,8.6,10,12,8.4,9,11,9.8,11,11,8,11,9.1,9.6,4,5.7,6.7,4.2
8,桃園市,觀音區,觀音,2016/1/31,風速 WIND_SPEED (m/sec),8.7,7.7,8.1,8.3,8,8.3,8.1,8.3,8.4,8,7.2,8.5,7.4,7.8,6.8,8.3,7.4,7.7,7.5,8.5,8.7,7.7,9.6,9.6
9,桃園市,觀音區,觀音,2016/1/31,溫度 AMB_TEMP (℃),16,16,16,16,16,16,16,16,16,17,19,19,20,20,20,19,19,18,18,17,17,17,17,17
10,桃園市,觀音區,觀音,2016/1/31,風向 WIND_DIREC (degrees),51,59,54,59,60,57,53,57,59,61,71,88,69,56,56,51,56,61,58,47,50,58,50,49
11,桃園市,觀音區,觀音,2016/1/31,小時風速值 WS_HR (m/sec),8.6,8,8.3,7.7,7.1,8,7.9,7.9,7.9,7.8,7.6,7.2,7.9,7,6.7,7,6.9,6.7,6.1,7.4,8.4,8.2,8.5,8.8
12,桃園市,觀音區,觀音,2016/1/31,酸雨 PH_RAIN (pH),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,桃園市,觀音區,觀音,2016/1/31,導電度 RAIN_COND (μmho/cm),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,桃園市,觀音區,觀音,2016/1/31,降雨強度 RAIN_INT (㎜),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,桃園市,觀音區,觀音,2016/1/31,小時風向值 WD_HR (degrees),52,54,53,58,60,55,58,57,58,60,74,75,79,58,55,54,53,61,68,55,49,53,52,51
16,桃園市,觀音區,觀音,2016/1/31,一氧化氮 NO (ppb),0.9,1,1,0.7,0.5,0.6,0.6,0.8,1.2,2.1,2.3,2.1,2.8,2.2,2.3,2.1,1.3,1,0.9,0.9,0.7,0.7,0.6,0.5
