序號,縣市,鄉鎮市區,測站,監測日期,測項(單位),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,桃園市,觀音區,觀音,2016/7/31,二氧化硫 SO2 (ppb),1.6,2.6,2.3,2.7,3.3,2.7,3.1,3.7,3.2,3.6,2.9,2,2.6,2.6,1.9,2.7,4,3.7,4.2,5.3,5,4.2,4.5,4.6
2,桃園市,觀音區,觀音,2016/7/31,二氧化氮 NO2 (ppb),12,12,9.8,9.7,13,12,13,11,,5.3,5.1,,3.9,3.4,2.3,3.2,4.5,8.2,11,14,11,8.1,15,11
3,桃園市,觀音區,觀音,2016/7/31,相對濕度 RH (percent),71,72,74,74,74,76,75,71,65,67,69,73,72,69,72,72,74,66,67,72,71,70,71,67
4,桃園市,觀音區,觀音,2016/7/31,一氧化碳 CO (ppm),0.2,0.23,0.19,0.18,0.19,0.19,0.21,0.22,0.18,0.12,0.09,0.09,0.09,0.08,0.07,0.07,0.09,0.13,0.13,0.14,0.11,0.11,0.13,0.15
5,桃園市,觀音區,觀音,2016/7/31,臭氧 O3 (ppb),14,13,15,14,12,11,13,20,25,24,23,22,19,19,19,18,18,16,12,8.8,12,14,6.3,9.6
6,桃園市,觀音區,觀音,2016/7/31,懸浮微粒 PM 10  (μg/m 3 ),37,32,32,32,29,28,31,41,52,48,47,,43,55,62,72,76,67,58,43,37,36,35,30
7,桃園市,觀音區,觀音,2016/7/31,氮氧化物 NOx (ppb),12,12,10,10,13,13,15,14,,7.4,7.3,,6.4,6,4.1,5.3,7.2,12,15,18,14,9.5,21,14
8,桃園市,觀音區,觀音,2016/7/31,風速 WIND_SPEED (m/sec),3,2,1.8,1.4,1.3,2,2.3,3.5,6.3,4.8,7.9,7,8.3,9.3,9.5,8.9,8.2,8.1,8.5,8.4,12,9.2,6.9,8.9
9,桃園市,觀音區,觀音,2016/7/31,溫度 AMB_TEMP (℃),29,29,29,29,29,28,29,30,32,33,33,32,33,33,33,32,32,32,31,31,31,31,30,31
10,桃園市,觀音區,觀音,2016/7/31,風向 WIND_DIREC (degrees),87,85,93,75,89,94,90,83,85,62,49,65,55,53,57,55,58,74,79,77,81,82,78,81
11,桃園市,觀音區,觀音,2016/7/31,小時風速值 WS_HR (m/sec),2.9,2.4,2.2,1.4,1.5,1.3,2.1,3,4.7,4.7,6,6.8,7.6,8.5,9,8.9,8.2,7.5,8.2,7.9,9.7,11,6.9,7.7
12,桃園市,觀音區,觀音,2016/7/31,酸雨 PH_RAIN (pH),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,桃園市,觀音區,觀音,2016/7/31,導電度 RAIN_COND (μmho/cm),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,桃園市,觀音區,觀音,2016/7/31,降雨強度 RAIN_INT (㎜),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,桃園市,觀音區,觀音,2016/7/31,小時風向值 WD_HR (degrees),86,87,87,82,90,94,87,84,86,64,53,52,56,54,53,54,58,74,81,80,80,81,80,81
16,桃園市,觀音區,觀音,2016/7/31,一氧化氮 NO (ppb),0.4,0.3,0.4,0.6,0.5,0.9,2.4,3.1,,2.1,2.2,,2.6,2.5,1.8,2.1,2.8,3.7,3.4,4.2,2.8,1.4,5.7,3.1
17,桃園市,觀音區,觀音,2016/7/31,細懸浮微粒 PM 2.5  (μg/m 3 ),12,14,15,14,12,8,13,16,20,21,20,0#,18,20,15,15,11,17,12,11,9,13,12,8
18,桃園市,觀音區,觀音,2016/7/30,二氧化硫 SO2 (ppb),4.2,2.6,3.3,3.9,3.7,4.1,4.5,4.6,3.3,4.7,3.5,4.3,4,2.9,3.7,3.4,3.4,4.9,4.3,4.2,5.1,5.3,6.4,1.9
19,桃園市,觀音區,觀音,2016/7/30,二氧化氮 NO2 (ppb),19,13,14,16,20,17,14,8.6,7.7,10,9.2,7.6,5.2,4.2,6.5,7.2,7.3,11,16,18,23,24,16,11
20,桃園市,觀音區,觀音,2016/7/30,相對濕度 RH (percent),85,84,83,84,86,85,82,78,72,69,66,65,68,71,65,64,67,58,61,63,68,69,69,69
21,桃園市,觀音區,觀音,2016/7/30,一氧化碳 CO (ppm),0.34,0.29,0.26,0.26,0.27,0.29,0.28,0.23,0.2,0.23,0.24,0.22,0.22,0.17,0.11,0.1,0.11,0.18,0.24,0.21,0.2,0.18,0.18,0.21
22,桃園市,觀音區,觀音,2016/7/30,臭氧 O3 (ppb),20,20,22,18,11,16,22,37,48,56,72,86,78,56,26,20,19,21,15,12,6.1,6.3,13,16
23,桃園市,觀音區,觀音,2016/7/30,懸浮微粒 PM 10  (μg/m 3 ),68,73,63,59,65,59,69,64,61,51,53,54,62,52,51,48,54,50,45,36,35,33,38,39
24,桃園市,觀音區,觀音,2016/7/30,氮氧化物 NOx (ppb),19,14,14,17,22,19,16,9.8,8.6,12,10,8.2,5.6,4.6,8.2,10,10,14,18,20,29,31,17,12
25,桃園市,觀音區,觀音,2016/7/30,風速 WIND_SPEED (m/sec),1.8,1.3,1.1,0.9,0.7,0.9,1.3,1.2,1.7,2.3,4.1,4.5,4.5,6.3,6.1,6.9,6.3,5.6,4.7,5.3,5,7.1,3.9,3
26,桃園市,觀音區,觀音,2016/7/30,溫度 AMB_TEMP (℃),29,28,28,28,28,28,29,30,31,32,33,33,32,32,34,33,33,33,32,31,30,30,30,29
27,桃園市,觀音區,觀音,2016/7/30,風向 WIND_DIREC (degrees),205,219,199,172,172,176,187,116,57,58,51,54,56,50,60,52,49,84,81,79,75,78,87,87
28,桃園市,觀音區,觀音,2016/7/30,小時風速值 WS_HR (m/sec),1.4,1,1.1,1,0.9,1.2,1.2,0.9,0.9,1.2,1.6,2.6,4.3,5.2,6.2,6.4,6,5.5,5.7,6.2,5,6,5.3,3.7
29,桃園市,觀音區,觀音,2016/7/30,酸雨 PH_RAIN (pH),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,桃園市,觀音區,觀音,2016/7/30,導電度 RAIN_COND (μmho/cm),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,桃園市,觀音區,觀音,2016/7/30,降雨強度 RAIN_INT (㎜),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,桃園市,觀音區,觀音,2016/7/30,小時風向值 WD_HR (degrees),208,232,206,183,182,184,189,187,81,54,51,58,53,51,52,55,52,75,82,80,79,81,83,87
33,桃園市,觀音區,觀音,2016/7/30,一氧化氮 NO (ppb),0.5,0.5,0.3,0.5,1.3,1.7,1.6,1.2,0.9,1.5,1,0.6,0.4,0.4,1.7,2.9,3,2.9,2.2,1.8,5.7,7,0.9,0.7
34,桃園市,觀音區,觀音,2016/7/30,細懸浮微粒 PM 2.5  (μg/m 3 ),45,40,36,39,40,40,37,36,35,35,29,25,27,28,29,16,14,14,14,16,10,20,15,21
35,桃園市,觀音區,觀音,2016/7/29,二氧化硫 SO2 (ppb),3.8,3.9,5.3,4.9,4.4,3.8,5,7.2,6.7,10,8.5,8,3.4,3.4,4.4,3.7,3.6,2.6,3.7,4.2,3.5,4,4,4.6
36,桃園市,觀音區,觀音,2016/7/29,二氧化氮 NO2 (ppb),9.7,11,14,23,19,17,22,21,22,27,17,13,6.6,5.7,5.4,4.9,4.9,3.7,4.2,5,4.9,5.1,7.3,18
37,桃園市,觀音區,觀音,2016/7/29,相對濕度 RH (percent),87,87,87,86,85,85,81,74,67,73,73,72,64,63,66,72,72,72,81,83,83,84,84,84
